section,sku_id,name,price_rub,appetite_score_data,image_quality_score,food_styling_score,taste_bucket,image_path,image_url
zakuski,zakuski-008,Бутерброды с угрём,250.0,5.89,7.37,4.07,mid,artifacts/sku-audit/images/zakuski/zakuski-008.jpg,https://363363.ru/images/00000007.jpg?crc=3916307764
desert,desert-020,Десерт Трайфл Сникерс,240.0,5.89,6.97,4.56,mid,artifacts/sku-audit/images/desert/desert-020.jpg,https://363363.ru/images/1583513490_14-p-traifli-snikers-44.jpg?crc=3854124199
napitki,napitki-018,Морс Клюквенный,350.0,5.93,7.36,4.19,mid,artifacts/sku-audit/images/napitki/napitki-018.png,https://363363.ru/images/klukvenniy_mors-crop-u40576.png?crc=3871546431
napitki,napitki-019,Морс Ягодное ассорти,350.0,5.93,7.36,4.19,mid,artifacts/sku-audit/images/napitki/napitki-019.png,https://363363.ru/images/klukvenniy_mors-crop-u57903.png?crc=3871546431
hot,hot-029,Мясо по-французски,1300.0,5.94,5.81,6.09,mid,artifacts/sku-audit/images/hot/hot-029.jpg,https://363363.ru/images/image%2070%20(5).jpg?crc=124109785
hot,hot-023,Рубленное мясо «Французи»,950.0,5.99,5.93,6.07,mid,artifacts/sku-audit/images/hot/hot-023.jpg,https://363363.ru/images/rubmyaso23-crop-u45347.jpg?crc=4152744400
desert,desert-011,Улитки с корицей,150.0,5.99,7.43,4.24,mid,artifacts/sku-audit/images/desert/desert-011.jpg,https://363363.ru/images/ss10.jpg?crc=403781281
desert,desert-009,Бисквитное ассорти,150.0,6.01,6.92,4.89,mid,artifacts/sku-audit/images/desert/desert-009.jpg,https://363363.ru/images/ss7.jpg?crc=446737775
hot,hot-028,Азу из говядины,1700.0,6.02,5.71,6.4,mid,artifacts/sku-audit/images/hot/hot-028.jpg,https://363363.ru/images/image%2070%20(4).jpg?crc=388606395
hot,hot-025,Свинина по Барски,1700.0,6.04,5.85,6.28,mid,artifacts/sku-audit/images/hot/hot-025.jpg,https://363363.ru/images/image%2070%20(1).jpg?crc=4003088691
napitki,napitki-002,Bon Aqua не газ.,,6.04,7.83,3.85,mid,artifacts/sku-audit/images/napitki/napitki-002.jpg,https://363363.ru/images/menu__big147__php7wknhq.jpg?crc=3806027823
zakuski,zakuski-018,Профитроли с куриным рулетом,145.0,6.07,6.54,5.5,mid,artifacts/sku-audit/images/zakuski/zakuski-018.jpg,https://363363.ru/images/00000002.jpg?crc=4221125558
zakuski,zakuski-019,Профитроли с сырно-крабовой начинкой,145.0,6.07,6.54,5.5,mid,artifacts/sku-audit/images/zakuski/zakuski-019.jpg,https://363363.ru/images/00000002.jpg?crc=4221125558
zakuski,zakuski-020,Профитроли с семгой,210.0,6.07,6.54,5.5,mid,artifacts/sku-audit/images/zakuski/zakuski-020.jpg,https://363363.ru/images/00000002.jpg?crc=4221125558
desert,desert-017,Пирожное красный бархат,150.0,6.1,6.39,5.74,mid,artifacts/sku-audit/images/desert/desert-017.jpg,https://363363.ru/images/image%2078-crop-u56857.jpg?crc=215218239
zakuski,zakuski-014,Салаты в тарталетках,95.0,6.11,7.25,4.72,mid,artifacts/sku-audit/images/zakuski/zakuski-014.jpg,https://363363.ru/images/00000013.jpg?crc=4000286669
zakuski,zakuski-031,Мини слоенная подушечка с креветкой,170.0,6.12,5.22,7.23,mid,artifacts/sku-audit/images/zakuski/zakuski-031.jpg,https://363363.ru/images/43184899_721717824876323_926069379979929864_n2-crop-u52930.jpg?crc=156077452
zakuski,zakuski-026,Мини слоеная подушечка,120.0,6.13,5.07,7.42,mid,artifacts/sku-audit/images/zakuski/zakuski-026.jpg,https://363363.ru/images/43184899_721717824876323_926069379979929864_n-crop-u50045.jpg?crc=316565728
furshetmenu,furshetmenu-004,Рулет куриный с яйцом и морковью,1400.0,6.15,6.06,6.26,mid,artifacts/sku-audit/images/furshetmenu/furshetmenu-004.jpg,https://363363.ru/images/%d0%ba%d1%83%d1%80%d0%b8%d0%bd%d1%8b%d0%b9%20%d1%80%d1%83%d0%bb%d0%b5%d1%821333.jpg?crc=332050248
hot,hot-020,Голень в медовом соусе во фритюре,1100.0,6.15,5.67,6.74,mid,artifacts/sku-audit/images/hot/hot-020.jpg,https://363363.ru/images/kurinie_nojki_v_panirovke-147450.jpg?crc=284729533
hot,hot-036,СВИНИНА ЗАПЕЧЕННАЯ С КАРТОФЕЛЕМ,1050.0,6.16,6.11,6.21,mid,artifacts/sku-audit/images/hot/hot-036.jpg,https://363363.ru/images/image%20146.jpg?crc=3784239367
hot,hot-008,Отбивная нежность из курицы,1400.0,6.18,5.86,6.57,mid,artifacts/sku-audit/images/hot/hot-008.jpg,https://363363.ru/images/kurinie_otbivnie_pod_shuboi-168662.jpg?crc=3935866727
furshetmenu,furshetmenu-002,Рыбное ассорти,950.0,6.21,6.35,6.04,mid,artifacts/sku-audit/images/furshetmenu/furshetmenu-002.jpg,https://363363.ru/images/rybnoe_assorti.jpg?crc=4174051548
furshetmenu,furshetmenu-012,Морское дно (слоёный),1700.0,6.22,6.92,5.36,mid,artifacts/sku-audit/images/furshetmenu/furshetmenu-012.jpg,https://363363.ru/images/b96d43cc95c07c0c6816062a0d5d54f7-crop-u18168.jpg?crc=380263026
hot,hot-012,Семга по-царски,2900.0,6.23,5.84,6.71,mid,artifacts/sku-audit/images/hot/hot-012.jpg,https://363363.ru/images/%d1%81%d0%b5%d0%bc%d0%b3%d0%b0%20%d0%bf%d0%be%20%d1%86%d0%b0%d1%80%d1%81%d0%ba%d0%b8234.jpg?crc=3758212445
hot,hot-016,Скумбрия по средиземноморски,1200.0,6.24,6.46,5.96,mid,artifacts/sku-audit/images/hot/hot-016.png,https://363363.ru/images/599559955995.png?crc=395748506
desert,desert-004,Пирожные Вупи,150.0,6.24,8.02,4.07,mid,artifacts/sku-audit/images/desert/desert-004.jpg,https://363363.ru/images/ss5.jpg?crc=3920044723
furshetmenu,furshetmenu-003,Карбонат деликатесный запеченный,1900.0,6.25,7.04,5.28,mid,artifacts/sku-audit/images/furshetmenu/furshetmenu-003.jpg,https://363363.ru/images/main-57-a5ecedb569c2cfe7e345c9ef04e2ce06-crop-u17339.jpg?crc=4249559983
zakuski,zakuski-004,Волованы,110.0,6.26,7.56,4.67,mid,artifacts/sku-audit/images/zakuski/zakuski-004.jpg,https://363363.ru/images/00000004.jpg?crc=201249914
zakuski,zakuski-005,Закуска Картофель в беконе,160.0,6.27,7.34,4.97,mid,artifacts/sku-audit/images/zakuski/zakuski-005.jpg,https://363363.ru/images/00000005.jpg?crc=524814113
hot,hot-011,Рис с овощами по-испански,420.0,6.28,5.83,6.82,mid,artifacts/sku-audit/images/hot/hot-011.jpg,https://363363.ru/images/ris-s-ovoschami-v-multivarke.jpg?crc=315438175
desert,desert-013,Мусс банан-шоколад,150.0,6.28,7.26,5.09,mid,artifacts/sku-audit/images/desert/desert-013.jpg,https://363363.ru/images/ss12.jpg?crc=383247322
furshetmenu,furshetmenu-018,Торт Печеночный,1100.0,6.38,6.74,5.95,mid,artifacts/sku-audit/images/furshetmenu/furshetmenu-018.jpg,https://363363.ru/images/638b10ac1b88713128203f1d350a78ea.jpg?crc=300198844
zakuski,zakuski-006,Бутерброд с сёмгой,250.0,6.39,7.46,5.09,mid,artifacts/sku-audit/images/zakuski/zakuski-006.jpg,https://363363.ru/images/image%2077.jpg?crc=301546401
hot,hot-004,Свинина запеченная с помидорами,1500.0,6.44,6.58,6.27,mid,artifacts/sku-audit/images/hot/hot-004.jpg,https://363363.ru/images/svinina-v-multivarke-3.jpg?crc=259499326
hot,hot-006,Свинина запеченная с болгарским перцем,1500.0,6.44,6.58,6.27,mid,artifacts/sku-audit/images/hot/hot-006.jpg,https://363363.ru/images/svinina-v-multivarke-3.jpg?crc=259499326
hot,hot-026,Баранина с овощами,2200.0,6.47,4.65,8.7,mid,artifacts/sku-audit/images/hot/hot-026.jpg,https://363363.ru/images/image%2070%20(2).jpg?crc=3848637433
desert,desert-008,Пирожное Медовик,150.0,6.49,7.18,5.64,mid,artifacts/sku-audit/images/desert/desert-008.jpg,https://363363.ru/images/ss6.jpg?crc=140937962
zakuski,zakuski-003,Ролл лаваш с семгой,220.0,6.5,7.86,4.84,high,artifacts/sku-audit/images/zakuski/zakuski-003.jpg,https://363363.ru/images/00000003.jpg?crc=65147201
desert,desert-001,Капкейки,150.0,6.52,7.96,4.76,high,artifacts/sku-audit/images/desert/desert-001.jpg,https://363363.ru/images/ss8.jpg?crc=3919582310
zakuski,zakuski-012,Рулетики из баклажанов,1400.0,6.53,8.56,4.05,high,artifacts/sku-audit/images/zakuski/zakuski-012.jpg,https://363363.ru/images/00000014.jpg?crc=217857861
zakuski,zakuski-022,Сет мясной,990.0,6.53,5.41,7.9,high,artifacts/sku-audit/images/zakuski/zakuski-022.jpg,https://363363.ru/images/setmyaso-crop-u49450.jpg?crc=85428856
zakuski,zakuski-009,Огуречные стаканчики,150.0,6.54,8.06,4.68,high,artifacts/sku-audit/images/zakuski/zakuski-009.jpg,https://363363.ru/images/00000009.jpg?crc=244409587
zakuski,zakuski-033,Заливное из языка,210.0,6.61,7.59,5.41,high,artifacts/sku-audit/images/zakuski/zakuski-033.jpg,https://363363.ru/images/zalivnoeizyazika.jpg?crc=3965539848
zakuski,zakuski-017,Закуска Роллы с курицей,160.0,6.62,7.26,5.84,high,artifacts/sku-audit/images/zakuski/zakuski-017.jpg,https://363363.ru/images/whatsapp%20image%202019-12-27%20at%20133854.jpg?crc=3874218344
hot,hot-003,Шашлык из семги,2700.0,6.65,7.16,6.02,high,artifacts/sku-audit/images/hot/hot-003.jpg,https://363363.ru/images/1434147740_shashlyk-iz-semgi-5.jpg?crc=503596528
desert,desert-005,Фруктовое канапе,150.0,6.67,7.92,5.14,high,artifacts/sku-audit/images/desert/desert-005.jpg,https://363363.ru/images/ss1.jpg?crc=199296026
desert,desert-012,Тарталетки с грецким орехом,150.0,6.68,7.95,5.13,high,artifacts/sku-audit/images/desert/desert-012.jpg,https://363363.ru/images/ss11.jpg?crc=4032111428
napitki,napitki-017,Морс Брусничный,350.0,6.69,8.41,4.58,high,artifacts/sku-audit/images/napitki/napitki-017.jpg,https://363363.ru/images/jagody_i_mors176x176.jpg?crc=4159277901
hot,hot-014,Рулька свиная запеченная,900.0,6.72,6.79,6.63,high,artifacts/sku-audit/images/hot/hot-014.jpg,https://363363.ru/images/maxresdefault.jpg?crc=3918301056
desert,desert-002,Тарталетки лесная ягода,150.0,6.72,8.84,4.14,high,artifacts/sku-audit/images/desert/desert-002.jpg,https://363363.ru/images/ss3.jpg?crc=517277505
desert,desert-003,Тирамсу,150.0,6.72,8.34,4.75,high,artifacts/sku-audit/images/desert/desert-003.jpg,https://363363.ru/images/ss13.jpg?crc=294705322
hot,hot-034,ГОЛЕНЬ КУРИНАЯ ЖАРЕНАЯ,820.0,6.78,6.86,6.69,high,artifacts/sku-audit/images/hot/hot-034.jpg,https://363363.ru/images/kak_pozharit_kurinye_nozhki_s_korochkoy.jpg?crc=3832375862
napitki,napitki-014,Сок Добрый Груша,,6.79,7.6,5.81,high,artifacts/sku-audit/images/napitki/napitki-014.jpg,https://363363.ru/images/1016882580.jpg?crc=3897245099
hot,hot-018,Рулеты из свинины фаршированные шампиньонами,1700.0,6.81,6.0,7.81,high,artifacts/sku-audit/images/hot/hot-018.png,https://363363.ru/images/ruletiki-iz-govyadiny-s-gribami-300x216.png?crc=394399207
furshetmenu,furshetmenu-009,Гранатовый браслет,1300.0,6.85,7.3,6.3,high,artifacts/sku-audit/images/furshetmenu/furshetmenu-009.jpg,https://363363.ru/images/402989013-crop-u18006.jpg?crc=204307986
furshetmenu,furshetmenu-010,Сельдь под шубой,1300.0,6.86,7.41,6.19,high,artifacts/sku-audit/images/furshetmenu/furshetmenu-010.jpg,https://363363.ru/images/79c07af8ad4b96674a100dd200ff32c3_cropped_612x408.jpg?crc=80195737
zakuski,zakuski-023,Сет рыбный,1400.0,6.87,5.27,8.82,high,artifacts/sku-audit/images/zakuski/zakuski-023.jpg,https://363363.ru/images/setmore-crop-u49502.jpg?crc=43786724
furshetmenu,furshetmenu-006,Салат Генеральский,1800.0,6.88,6.44,7.42,high,artifacts/sku-audit/images/furshetmenu/furshetmenu-006.jpg,https://363363.ru/images/information_items_12913-crop-u17857.jpg?crc=517347454
furshetmenu,furshetmenu-021,Салат по сицилийски,1450.0,6.91,7.21,6.55,high,artifacts/sku-audit/images/furshetmenu/furshetmenu-021.jpg,https://363363.ru/images/%d0%b8%d0%b7%d0%be%d0%b1%d1%80%d0%b0%d0%b6%d0%b5%d0%bd%d0%b8%d0%b5%20whatsapp%202024-01-23%20%d0%b2%20151142_f8ea92cb-crop-u80572.jpg?crc=4231917769
zakuski,zakuski-001,Канапе на выбор,120.0,6.92,8.06,5.53,high,artifacts/sku-audit/images/zakuski/zakuski-001.jpg,https://363363.ru/images/00000001.jpg?crc=374478272
furshetmenu,furshetmenu-013,Гнездо глухаря (слоеный),1400.0,6.94,7.6,6.13,high,artifacts/sku-audit/images/furshetmenu/furshetmenu-013.jpg,https://363363.ru/images/83547291_dsc_7404-crop-u18402.jpg?crc=252380366
furshetmenu,furshetmenu-022,Салат норвежский,1700.0,6.95,5.64,8.56,high,artifacts/sku-audit/images/furshetmenu/furshetmenu-022.jpg,https://363363.ru/images/%d0%b8%d0%b7%d0%be%d0%b1%d1%80%d0%b0%d0%b6%d0%b5%d0%bd%d0%b8%d0%b5%20whatsapp%202024-01-23%20%d0%b2%20151142_840e4d5b-crop-u80624.jpg?crc=339684661
hot,hot-009,Картофель по-деревенски,600.0,6.99,6.3,7.83,high,artifacts/sku-audit/images/hot/hot-009.jpg,https://363363.ru/images/1451248525_kartofelnye-dolki-po-derevenski.jpg?crc=391273178
furshetmenu,furshetmenu-001,Салат «Восторг»,1200.0,7.04,7.51,6.46,high,artifacts/sku-audit/images/furshetmenu/furshetmenu-001.jpg,https://363363.ru/images/salat-s-ananasami.jpg?crc=4168189161
hot,hot-001,Шашлык из куриного филе,1500.0,7.2,7.36,7.0,high,artifacts/sku-audit/images/hot/hot-001.jpg,https://363363.ru/images/recept-shashlik-iz-kuricy31.jpg?crc=4126558266
hot,hot-002,Шашлык из свинины с овощами,1900.0,7.29,7.53,7.0,high,artifacts/sku-audit/images/hot/hot-002.jpg,https://363363.ru/images/b81e03-c47df456b38b4a8b9c4879770f944e73-600x399-crop-u17617.jpg?crc=451295926
hot,hot-032,КУРИЦА ГРИЛЬ,790.0,7.52,6.55,8.7,high,artifacts/sku-audit/images/hot/hot-032.jpg,https://363363.ru/images/7ba76875cfb0a438f97f603b7b6bcfad_cropped_740x537.jpg?crc=277360809
hot,hot-015,Сотэ из баклажанов,1100.0,7.82,7.51,8.2,high,artifacts/sku-audit/images/hot/hot-015.jpg,https://363363.ru/images/sote-iz-baklazhanov-recept-sote-iz-baklazhanov-s-foto.jpg?crc=111185878
hot,hot-019,Крылышки в медовом соусе во фритюре,1100.0,7.82,6.99,8.84,high,artifacts/sku-audit/images/hot/hot-019.jpg,https://363363.ru/images/krilishki-med-1.jpg?crc=3969700622
hot,hot-013,Голень индейки запеченная,990.0,7.83,8.42,7.1,high,artifacts/sku-audit/images/hot/hot-013.jpg,https://363363.ru/images/dsc_5531.jpg?crc=211479739
